word,ceviri,master,CreatedAt
invariably,"daima, her zaman, kesinlikle","ibm data analyst","2024-09-23 14:51:32"
imply,"ima etmek, kastetmek","ibm data analyst","2024-09-23 14:52:40"
inference,çıkarım,"ibm data analyst","2024-09-23 14:53:56"
liberal,özgürlükçü,"ibm data analyst","2024-09-23 14:58:20"
title,"başlık, ünvan","ibm data analyst","2024-09-23 14:59:41"
intentional,"niyetli, kasıtlı","ibm data analyst","2024-09-23 15:00:30"
vital,hayati,"ibm data analyst","2024-09-23 15:12:00"
vary,"değişmek, çeşitlenmek, farklılık göstermek","ibm data analyst","2024-09-24 08:46:57"
extent,"kapsam, ölçü, boyut","ibm data analyst","2024-09-24 08:49:10"
adopted,"bir düşünceyi, stratejiyi, yöntemi veya kişiyi kabul etmek, benimsemek","ibm data analyst","2024-09-24 08:51:47"
practice,"uygulama, pratik, çalışma","ibm data analyst","2024-09-24 08:53:20"
query,"soru, sorgu, şüpheyi dile getirmek/ sql sorgu","ibm data analyst","2024-09-24 08:57:48"
pattern,"düzen, tekrarlanan yapı, belirli bir sıralama ile oluşan","ibm data analyst","2024-09-24 09:01:29"
appropriate,"uygun, yerinde, doğru","ibm data analyst","2024-09-24 09:02:43"
demonstrate,"göstermek, kanıtlamak, açıklamak","ibm data analyst","2024-09-24 09:06:16"
correspond,"birbiri ile uyumlu olmak, eşleşmek","ibm data analyst","2024-09-24 09:07:43"
proficiency,"yeterlilik seviyesi, beceri düzeyi","ibm data analyst","2024-09-24 09:14:59"
fallacy,"yanılgı, hatalı düşünce","ibm data analyst","2024-09-24 09:16:59"
articulation,"tanımlanma, net bir şekilde ifade edilme","ibm data analyst","2024-09-24 10:04:17"
probe,"derinlemesine sorgulamak, incelemek","ibm data analyst","2024-09-24 10:05:33"
ace,"bir konuyu veya işi mükemmel bir şekilde başarmak","ibm data analyst","2024-09-24 10:11:47"
"soft skills","teknik bilgi dışında sosyal ilişki becerileri","ibm data analyst","2024-09-24 10:13:50"
collaboratively,"bir grup, takım içinde beraber çalışma, iş birlikçi çalışma","ibm data analyst","2024-09-24 10:15:06"
compelling,"ikna edici, çarpıcı, ilgi çekici, kaçınılmaz, zorlayıcı","ibm data analyst","2024-09-24 10:18:21"
above,"üstünde, yukarıda (somut-soyut)","ibm data analyst","2024-09-24 10:37:44"
curious,meraklı,"ibm data analyst","2024-09-24 10:38:31"
stumble,"beklenmedik bir hata yapmak, yanılmak, takılmak, düşmek","ibm data analyst","2024-09-24 10:39:51"
surface,"yüzey/ görünümü, yapısı, belirgin özellikleri belirtir","ibm data analyst","2024-09-24 10:42:38"
assumption,"varsayılan, önceden kabul edilen durum, inanç","ibm data analyst","2024-09-24 10:44:04"
practicioner,"bilgiye sahip olan ve bilgisini pratiğe döken profesyonel kişi","ibm data analyst","2024-09-24 10:46:36"
intuition,"hızlı ve sezgisel anlayış/ bilinçaltı, duygu","ibm data analyst","2024-09-24 10:49:31"
forage,"araştırmak, toplamak/ yiyecek, kaynak aramak","ibm data analyst","2024-09-24 11:02:38"
spectrum,"çeşitlilik, yelpaze","ibm data analyst","2024-09-24 11:12:41"
credible,"güvenilir, inandırıcı, doğrulanabilir","ibm data analyst","2024-09-24 11:14:31"
awe,"bir şeyin büyüklüğü, güzelliği, gücü karşısında duyulan hayranlık, korku (awe of)","ibm data analyst","2024-09-24 11:16:53"
recipient,"bir şeyin alıcısı, kabul edeni","ibm data analyst","2024-09-24 11:18:21"
utility,"hizmet, fayda","ibm data analyst","2024-09-24 11:20:23"
overbill,"beklenenden fazla fatura","ibm data analyst","2024-09-24 11:22:22"
occurence,"bir olayın tekrar etmeleri, gerçekleşme sayısı","ibm data analyst","2024-09-24 11:23:58"
spot,"görmek, fark etmek/ nokta","ibm data analyst","2024-09-24 11:28:16"
usage,"bir şeyin kullanım sıklığı veya kullanım şekli","ibm data analyst","2024-09-24 11:30:39"
consumption,"tüketim, maliyet","ibm data analyst","2024-09-24 11:31:51"
occur,"meydana gelme, gerçekleşme","ibm data analyst","2024-09-24 11:33:24"
wise,"- ile kullanıldığında bağlamında, bazında, açısından/ akıllıca","ibm data analyst","2024-09-24 11:58:15"
individual,"birey, örnek, birim","ibm data analyst","2024-09-24 12:01:12"
repetitively,"tekrar tekrar","ibm data analyst","2024-09-24 12:01:50"
sporadic,"ara sıra, dağınık","ibm data analyst","2024-09-24 12:02:51"
refute,çürütmek,"ibm data analyst","2024-09-24 12:03:58"
concentration,"yoğunlaşma, odaklanma","ibm data analyst","2024-09-24 12:07:07"
credibility,"güvenilirlik, geçerlilik","ibm data analyst","2024-09-24 12:09:37"
commonality,"benzerlik, paylaşılan özellik","ibm data analyst","2024-09-24 12:11:05"
commercial,"reklam/ ticari faliyet, ürün, hizmet vs","ibm data analyst","2024-09-24 12:13:29"
wide,"genişlik, açıklık, kapsamlılık","ibm data analyst","2024-09-24 12:15:43"
headcount,"yoklama yapmak","ibm data analyst","2024-09-24 12:17:41"
pivot,"bir şeyin dönme, değişme noktası, dönüştürme, yönlendirme","ibm data analyst","2024-09-24 12:20:10"
cater,"bir ihtiyacın karşılanması, hizmet verilmesi/ yiyecek içecek sağlamak","ibm data analyst","2024-09-24 12:21:48"
sentiment,"duygusal durum, tutum","ibm data analyst","2024-09-24 12:22:57"
besides,"yanında, beraberinde","ibm data analyst","2024-09-24 12:24:22"
satellite,uydu,"ibm data analyst","2024-09-24 12:25:45"
span,"kapladığı boyut, aralık, uzunluk","ibm data analyst","2024-09-24 12:30:25"
rigid,"katı, esnek olmayan","ibm data analyst","2024-09-24 12:37:25"
neat,"düzenli, sade, temiz","ibm data analyst","2024-09-24 12:38:22"
qualitative,"niteliksel, özelliklere dayalı","ibm data analyst","2024-09-24 12:40:29"
range,"alan, çeşitlilik, kapsam","ibm data analyst","2024-09-24 12:42:12"
comprise,"içermek, oluşmak","ibm data analyst","2024-09-24 14:01:46"
manner,"tarz, tavır","ibm data analyst","2024-09-24 14:08:38"
fact,"doğrulanabilir, nesnel bilgi, gerçek, doğru bilgi","ibm data analyst","2024-09-24 14:12:17"
lack,"eksiklik, yetersizlik","ibm data analyst","2024-09-24 14:14:22"
underlying,"altta yatan, temel oluşturan, gizli olan","ibm data analyst","2024-09-24 14:18:51"
delimiter,".csv dosyalarında satırlardaki bölümleri ayırmak için kullanılan öğe","ibm data analyst","2024-09-24 14:29:47"
along,boyunca,"ibm data analyst","2024-09-25 10:15:58"
"along with","birlikte, ek olarak","ibm data analyst","2024-09-25 10:16:25"
benefit,"avantaj, katkı, fayda","ibm data analyst","2024-09-25 10:49:18"
boundary,"sınır limit","ibm data analyst","2024-09-25 10:51:14"
literal,"değişkene atanan sabit/ gerçek, doğruan","ibm data analyst","2024-09-25 10:54:38"
infrequent,"seyrek, nadir","ibm data analyst","2024-09-25 10:58:59"
header,"başlık, etiket","ibm data analyst","2024-09-25 11:01:01"
intersection,"kesişim noktası/ kavşak","ibm data analyst","2024-09-25 11:09:56"
malicious,"kötü niyetli, zararlı","ibm data analyst","2024-09-25 11:14:32"
sustain,"sesin bir süre nerdeyse değişmeden devam etmesi, uzunluk, sürdürme","mix master","2024-09-26 11:10:21"
overlap,"çakışma, üst üste binme, örtüşme","mix master","2024-09-26 12:32:36"
subtly,"ince bir şekilde, hafifçe","mix master","2024-09-26 12:40:45"
increase,arttırmak,"mix master","2024-09-26 12:41:40"
presence,"mevcudiyet, varlık, duyulabilirlik","mix master","2024-09-26 12:42:40"
occupy,"kaplamak, doldurmak, işgal etmek","mix master","2024-09-26 12:47:35"
vastly,"çokça, geniş ölçüde","mix master","2024-09-26 12:55:51"
flat,"düz, genellikle tek bir tablo, liste şeklinde saklanan veri","ibm data analyst","2024-09-27 10:09:25"
api,"farklı yazılım uygulamaları arasında iletişim kurmayı sağlayan arayüz","ibm data analyst","2024-09-27 11:26:05"
"web scrapping","bir veb sitesinden veri toplama","ibm data analyst","2024-09-27 11:37:30"
scrap,hurda,"ibm data analyst","2024-09-27 11:37:48"
internal,"iç kısmı, içsel özellikleri","ibm data analyst","2024-09-27 11:48:50"
workflow,"akış, bir işte görevlerin organizasyonu ve sıralanması","ibm data analyst","2024-09-27 11:51:57"
retail,"perakende(ticari amaç gütmeyen son tüketiciye ürün satmak)","ibm data analyst","2024-09-27 11:55:57"
external,"dış, dış yapı, dış etki","ibm data analyst","2024-09-27 11:57:24"
promotion,"kampanya, indirim/ terfi","ibm data analyst","2024-09-27 12:00:35"
plain,"sade, düz, yalın","ibm data analyst","2024-09-27 12:02:57"
commodity,"ticarette alınıp satılan temel ürünler","ibm data analyst","2024-09-27 12:10:43"
co-relating,"veriler arasındaki ilişkiyi analiz etme süreci","ibm data analyst","2024-09-27 12:12:31"
timestamp,"bir olayın, verinin ne zaman kaydedildiğini belirten tarih, saat verisi","ibm data analyst","2024-09-27 12:20:23"
surveillance,"izlemek, gözetlemek","ibm data analyst","2024-09-30 10:19:23"
syndication,"verilerin birden fazla platformda dağıtılması, paylaşılması(veri kaynağı)","ibm data analyst","2024-09-30 10:25:51"
exclusively,"münhasır, bir şey-kişi için özel","ibm data analyst","2024-09-30 10:30:20"
portable,"farklı platformlarda-cihazlarda taşınabilir, çalıştırılabilir","ibm data analyst","2024-09-30 10:32:59"
vendor,"ürün-hizmet sağlayan kişi, şirket","ibm data analyst","2024-09-30 10:34:41"
extension,"bir yazılımın işlevselliğini genişleten ek bileşen, eklenti","ibm data analyst","2024-09-30 10:37:24"
execute,çalıştırmak,"ibm data analyst","2024-09-30 10:45:57"
cumbersome,"hantal, kullanımı zor, verimsiz","ibm data analyst","2024-09-30 10:50:01"
paradigm,"bir alanda genel kabul görmüş teori, yöntem, bakış açısı","ibm data analyst","2024-09-30 10:53:01"
facilitate,"kolaylaştırmak, verimli hale getirmak","ibm data analyst","2024-09-30 11:37:21"
comprehensible,"kolayca anlaşılabilir olmak","ibm data analyst","2024-09-30 11:38:37"
embed,"bir nesneyi veya kodu başka bir nesneye veya sisteme yerleştirmek","ibm data analyst","2024-09-30 11:44:21"
pipeline,"akış, bir iş için izlenecek adımlar bütünü, sırası","ibm data analyst","2024-09-30 11:50:01"
income,"maddi gelir","ibm data analyst","2024-09-30 12:08:14"
dicourage,"cesaretini kırmak, bir şeyi yapmasını engellemek","ibm data analyst","2024-09-30 12:09:42"
establish,"temel atmak, kurmak, oluşturmak","ibm data analyst","2024-09-30 12:11:18"
sufficient,yeterli,"ibm data analyst","2024-09-30 12:12:53"
mitigation,"olumsuz etkileri, riskleri azaltmak","ibm data analyst","2024-09-30 12:14:24"
trait,"karakter, kişilik","ibm data analyst","2024-09-30 12:36:47"
pertain,"ilgili olmak, ait olmak","ibm data analyst","2024-09-30 12:38:12"
governance,"yönetim-denetim biçimi","ibm data analyst","2024-09-30 12:39:17"
confidentiality,gizlilik,"ibm data analyst","2024-09-30 12:41:20"
privacy,mahremiyet,"ibm data analyst","2024-09-30 12:41:42"
compliance,"kurallara uyumluluk","ibm data analyst","2024-09-30 12:44:06"
auditable,denetlenebilir,"ibm data analyst","2024-09-30 12:45:28"
compromise,"sistem-bilgi-veri'nin güvenliğinin tehlikeye girmesi/ uzlaşma","ibm data analyst","2024-09-30 12:47:56"
reliable,"güvenilir, tutarlı","ibm data analyst","2024-09-30 12:49:17"
survey,anket,"ibm data analyst","2024-09-30 12:56:19"
gauge,"miktarı ölçmek, değerlendirmek","ibm data analyst","2024-09-30 12:57:21"
census,"bir bölgenin nüfusunu, demografik özelliklerini vs toplayan inceleyen istatistik işlemi","ibm data analyst","2024-09-30 13:00:10"
executive,yönetici,"ibm data analyst","2024-09-30 13:01:59"
interview,"röportaj, görüşme, mülakat","ibm data analyst","2024-09-30 13:03:26"
commerce,ticaret,"ibm data analyst","2024-09-30 13:05:03"
among,"arsında, bir grup arasındaki konum ve ilişkiler","ibm data analyst","2024-09-30 13:12:40"
capture,"kaydetmek, toplamak, esir almak, ele geçirmek","ibm data analyst","2024-09-30 13:17:56"
wrangle,"çekişmek, kavga/ karmaşık işlemler","ibm data analyst","2024-09-30 14:20:57"
latency,gecikme,"ibm data analyst","2024-09-30 14:30:36"
proliferation,"çoğalma, artma, yayılma","ibm data analyst","2024-09-30 14:32:44"
comprehensive,"kaspsamlı, ayrıntılı","ibm data analyst","2024-09-30 14:35:09"
consolidate,"farklı bileşenleri bir araya getirmek, güçlendirmek","ibm data analyst","2024-09-30 14:39:49"
redundancy,"fazlalık, gereksiz tekrar","ibm data analyst","2024-09-30 14:44:17"
restrict,kısıtlamak,"ibm data analyst","2024-09-30 14:45:09"
govern,yönetmek,"ibm data analyst","2024-09-30 14:49:04"
reduce,azaltmak,"ibm data analyst","2024-09-30 14:58:09"
emphasize,vurgulamak,"ibm data analyst","2024-10-07 09:48:43"
agile,"çevik, atik","ibm data analyst","2024-10-07 09:57:00"
"ease of","zahmetsiz, rahat","ibm data analyst","2024-10-11 16:00:54"
abbreviation,kısaltma,"ibm data analyst","2024-10-11 16:06:32"
fashion,"moda, alışıldık, kabul gören şekil","ibm data analyst","2024-10-11 16:13:13"
pair,çift,"ibm data analyst","2024-10-11 16:14:07"
session,"kullanıcının oturum süresi/ toplantı, aktivite, olay","ibm data analyst","2024-10-11 16:18:01"
cache,"cpu ve bellek arasındaki küçük bellek çeşidi(hızlandırma sağlar)","ibm data analyst","2024-10-11 16:20:29"
within,içinde,"ibm data analyst","2024-10-11 16:22:27"
"ad hoc query","anlık sorgu, önceden tanımlanmamış tek kullanımlık, o an yazılan özel sorgular","ibm data analyst","2024-10-11 16:26:53"
response,"yanıt, cevap, tepki","ibm data analyst","2024-10-11 16:40:55"
across,"karşısında(somut), arasında(soyut), zaman diliminde","ibm data analyst","2024-10-11 16:44:18"
insert,"tabloya veri eklemek, sokmak, yerleştirmek","ibm data analyst","2024-10-11 16:48:06"
allow,"izin vermek, kabul etmek, olanak tanımak","ibm data analyst","2024-10-11 16:49:07"
nonetheless,"yine de","ibm data analyst","2024-10-11 16:55:46"
warehouse,"depo, sağıtım merkezi","ibm data analyst","2024-10-11 17:33:20"
opt,"seçmek, tercih etmek","ibm data analyst","2024-10-11 17:34:38"
readily,"kolayca/ hazır bir şekilde/ gönüllü olarak","ibm data analyst","2024-10-11 17:36:07"
serve,"hizmet etmek, görev yapmak, kullanmak, sunmak","ibm data analyst","2024-10-11 17:37:37"
enabler,"olanak sağlayan, kolaylaştırıcı","ibm data analyst","2024-10-11 17:38:51"
enable,"olanak tanımak, desteklemek, aktive etmek","ibm data analyst","2024-10-11 17:39:36"
mart,"pazar, çarşı","ibm data analyst","2024-10-11 17:50:27"
subsection,"alt bölüm","ibm data analyst","2024-10-11 17:52:29"
metatag,"html belgesinin başlığı/ tanım, açıklama","ibm data analyst","2024-10-11 18:10:58"
retain,"sistemin bilgi-özellik koruma yeteneği/ saklamak/ akılda tutmak/ alıkoymak","ibm data analyst","2024-10-11 18:18:56"
exclusion,"dışlanma, hariç tutulma","ibm data analyst","2024-10-11 18:20:13"
stage,"sahnelemei gösterim/ sistemin son testler önceki aşaması","ibm data analyst","2024-10-11 18:22:45"
advanced,"gelişmiş, ileri düzey","ibm data analyst","2024-10-11 18:24:16"
generic,"genel, standart, sıradan, dikkat çekmeyen","ibm data analyst","2024-10-11 18:27:38"
chunk,"büyük veri setlerinin küçük parçaları/ parça, önemli bir miktar","ibm data analyst","2024-10-11 18:29:49"
interval,"aralık/ mola/ sql'de zamasal değerlere ekleme çıkarma yapmak için kullanılan anahtar kelime","ibm data analyst","2024-10-11 18:32:38"
populate,"doldurmak, yerleştirmek, bulunmak","ibm data analyst","2024-10-11 19:36:18"
incremental,"aşamalı artan, büyüyen, genişleyen","ibm data analyst","2024-10-11 19:37:56"
refresh,"yenilemek, canlandırmak/ güçlenmek, enerji kazanmak","ibm data analyst","2024-10-11 19:39:21"
content,"içerik, kapsam","ibm data analyst","2024-10-11 19:40:39"
erase,"silmek, unutmak, yok etmek","ibm data analyst","2024-10-11 19:41:54"
verification,"doğrulama, onaylama, kontrol etme","ibm data analyst","2024-10-11 19:43:12"
although,"buna rağmen","ibm data analyst","2024-10-11 19:46:23"
subset,"alt küme, özel katagori","ibm data analyst","2024-10-11 19:48:14"
particularly,"özellikle, bilhassa","ibm data analyst","2024-10-11 19:50:49"
contribute,"katkıda bulunmak","ibm data analyst","2024-10-11 20:04:34"
typically,"genellikle, çoğunlukla, tipik olarak","ibm data analyst","2024-10-11 20:19:23"
bulk,"büyük miktarda, hacim miktarı","ibm data analyst","2024-10-13 10:02:00"
merge,"dosyaların bir araya getirilip bütün oluşturmaları, birleştirmek, kaynaştırmak","ibm data analyst","2024-10-13 10:02:00"
normalization,"verilerin düzenlenmesi, optimize edilmesi","ibm data analyst","2024-10-13 10:02:00"
skew,"bir veri dağılımının simetrik olmaması, eğrilik/ etkilemek","ibm data analyst","2024-10-13 10:02:00"
gender,cinsiyet,"ibm data analyst","2024-10-13 10:02:00"
glossary,"bir konuyla ilgili terimlerin ve anlamlarının yer aldığı sözlük","ibm data analyst","2024-10-13 10:02:00"
foundation,"temel/ vakıf","ibm data analyst","2024-10-13 11:35:16"
innovantie,"yenilikçi, yaratıcı","ibm data analyst","2024-10-13 12:10:18"
velocity,hız,"ibm data analyst","2024-10-13 12:10:56"
veracity,"doğruluk, güvenirlik","ibm data analyst","2024-10-13 12:11:27"
accumulate,"biriktirmek, toplamak","ibm data analyst","2024-10-13 12:12:13"
attribute,"nitelik, özellik/ atfetmek, bağlamak","ibm data analyst","2024-10-13 12:13:39"
ambiguity,"belirsizlik/ çift anlamlılık","ibm data analyst","2024-10-13 12:14:40"
traceability,"izlenebilirlik, takip edilebilirlik","ibm data analyst","2024-10-13 12:15:59"
debate,"çekişme, karar verme süreci","ibm data analyst","2024-10-13 12:16:47"
accurate,"doğru, kesin","ibm data analyst","2024-10-13 12:17:19"
devise,"geliştirmek, tasarlamak, hesaplamak, planlamak","ibm data analyst","2024-10-13 12:18:11"
cope,"başa çıkmak, üstesinden gelmek","ibm data analyst","2024-10-13 12:18:47"
feasible,"mümkün, uygulanabilir","ibm data analyst","2024-10-13 12:20:01"
enrich,"zenginleştirmek, geliştirmek","ibm data analyst","2024-10-13 12:21:50"
strap,"kayış, bant/ sıkı bir şekilde bağlamak","ibm data analyst","2024-10-13 12:28:13"
consolidating,"birleştirmek/ güçlendirmek","ibm data analyst","2024-10-13 12:29:14"
congestion,"tıkanıklık, kalabalıklaşma","ibm data analyst","2024-10-13 12:30:27"
throughput,"performans ölçütü, verimlilik, akış miktarı","ibm data analyst","2024-10-13 12:31:50"
accommodation,"konaklama, uyum sağlama","ibm data analyst","2024-10-13 12:32:38"
portability,"taşınabilirlik, uyumluluk","ibm data analyst","2024-10-13 12:33:37"
compatible,"anlaşılabilir, uyumlu","ibm data analyst","2024-10-13 12:34:32"
versatile,"çok yönlü, farklı işlerde kullanılabilen","ibm data analyst","2024-10-13 12:36:02"
archival,"verilerin tarihsel-hukusal korunması-saklanması ile ilgili süreç","ibm data analyst","2024-10-13 12:39:23"
sub,"program içinde bir işlev için yazılan daha küçük kod bloğu/ alt, alt seviye","ibm data analyst","2024-10-13 12:41:15"
sheer,"şeffaf, ince/ tam, kesin","ibm data analyst","2024-10-13 12:42:13"
phaze,"aşama, durum","ibm data analyst","2024-10-13 12:42:54"
provide,sağlamak,"operating systems","2024-10-14 11:08:50"
intermediary,"aracı, iki şey arasında iletişim sağlamak/ ara basamak","operating systems","2024-10-14 11:10:46"
outline,"anahat, içerik başlıkları","operating systems","2024-10-14 14:14:47"
environment,"çevre, ortamdaki mevcut koşullar","operating systems","2024-10-14 14:16:46"
coverage,"kapsama alanı, sigorta kapsamı","operating systems","2024-10-14 14:23:31"
various,çeşitli,"operating systems","2024-10-14 14:26:21"
complier,"derleyici, kaynak kodunu hedef diline dönüştüren araç/ toplayıcı","operating systems","2024-10-14 14:28:55"
conveniently,"elverişli, kolay, uygun","operating systems","2024-10-14 14:36:43"
initiate,"başlatmak, giriş yapmak","operating systems","2024-10-14 14:39:35"
allocation,"tahsis, dağıtım, paylaştırma","operating systems","2024-10-14 14:41:04"
efficient,"verimli, işlevsel","operating systems","2024-10-14 14:41:50"
"vendor ship",teslimat,"operating systems","2024-10-14 14:51:30"
approximation,"yaklaşım, tahmin","operating systems","2024-10-14 14:52:53"
wildly,"aşırı, kontrolsüz, çılgınca","operating systems","2024-10-14 14:58:06"
buffer,"veri akışı sırasında verilerin geçici olarak depolandığı yer/ tampon/ yastık","operating systems","2024-10-15 08:21:14"
inform,"bilgilendirmek, haber vermek","operating systems","2024-10-15 08:21:14"
preserve,"korumak, saklamak","operating systems","2024-10-15 08:21:14"
respective,"kendi, ilgili","operating systems","2024-10-15 08:21:14"
"interrupt vector","interrupt gerçekleştiğinde hangi handler'ı çalıştıracağını belirleyen bellek tablosu","operating systems","2024-10-15 08:21:14"
transmit,"iletmek/ ağ yolu ile iletmek/ bulaştırmak","operating systems","2024-10-15 08:21:14"
intervention,"araya girme, müdahale, durdurma","operating systems","2024-10-15 08:21:14"
trap,"software interrupt(yazılımsal kesinti)","operating systems","2024-10-15 08:21:14"
instruction,"komut, talimat/ eğitim","operating systems","2024-10-15 08:21:14"
asynchronoys,"bağımsız, eş zamanlı olmayan","operating systems","2024-10-15 08:21:14"
synchronous,"eş zamanlı, zaman bağlamında bağımlı","operating systems","2024-10-15 08:21:14"
via,"aracılığıyla, vasıtasıyla","operating systems","2024-10-15 08:21:14"
bia,"önyargı, taraflılık","ibm data analyst","2024-10-17 08:37:54"
source,"kaynak, veri depolanan yer","ibm data analyst","2024-10-17 08:39:30"
peripherals,"pc'ye bağlanan ek harici cihazlar/ çevre birimleri, çevre unsurları","ibm data analyst","2024-10-17 08:43:18"
supplement,"ek, ilave, destekleyici unsur","ibm data analyst","2024-10-17 08:44:51"
log,"kayıt/ kütük","ibm data analyst","2024-10-17 08:47:51"
deliver,"teslim etkmek/ bir vaadi yerine getirmek/ doğum yapmak","ibm data analyst","2024-10-17 08:50:12"
downstream,"nehirdeki akıntı yönünde/ sonraki aşamalarda","ibm data analyst","2024-10-17 08:51:46"
replicate,"kopyalamak, tekrarlamak","ibm data analyst","2024-10-17 08:55:59"
add-in,"eklenti, ekstra özellik, ana programa eklenen bileşen","ibm data analyst","2024-10-17 09:04:32"
extend,"bir sistemin özelliklerini, işlevlerini arttırmak/ uzatmak/ python'da listeye eleman-lar ekler","ibm data analyst","2024-10-17 09:08:25"
simultaneously,"aynı anda, eş zamanlı","ibm data analyst","2024-10-17 09:15:09"
explicitly,"açıkça, kesin bir şekilde","ibm data analyst","2024-10-17 10:10:01"
straightforward,"açık, dürüst","ibm data analyst","2024-10-17 10:12:55"
parse,"çözümleyerek anlamak","ibm data analyst","2024-10-17 10:15:14"
weaken,"zayıflatmak, azaltmak","ibm data analyst","2024-10-17 10:16:58"
inconsistent,"tutarsız, düzensiz","ibm data analyst","2024-10-17 10:57:05"
intrinsic,"içsel, özünde bulunan, dış faktörlerden etkilenmeyen","ibm data analyst","2024-10-17 11:03:14"
anchored,"referans noktasına göre karar verme, temellendirme/ bağlanmak","ibm data analyst","2024-10-17 11:10:08"
unit,"ölçüm sisteminde temel standart olaran en küçük bileşen/ birim, modül","ibm data analyst","2024-10-17 11:13:18"
rectify,"düzeltmek, iyileştirmek","ibm data analyst","2024-10-17 11:14:26"
typo,"yazılım hatası","ibm data analyst","2024-10-17 11:15:31"
undertake,"üstlenmek, başlamak","ibm data analyst","2024-10-17 11:20:31"
portion,"kısım, hisse","ibm data analyst","2024-10-17 11:22:21"
inevitably,"kaçınılmaz olarak, kesin","ibm data analyst","2024-10-17 11:23:57"
account,"hesap/ hesaplamak/ sorumlu tutmak","ibm data analyst","2024-10-17 11:28:50"
ledge,"raf, çıkıntı","ibm data analyst","2024-10-17 11:30:03"
revenue,"gelir, kazanç, hasılat","ibm data analyst","2024-10-17 11:37:05"
drastically,"ani bir şekilde/ köklü olarak","ibm data analyst","2024-10-17 11:38:28"
redundant,"gereksiz, fazladan","ibm data analyst","2024-10-17 11:45:16"
profile,"bilgi içeren kayıt, kişisel bilgi/ tanıtmak, tanıtım","ibm data analyst","2024-10-17 11:46:56"
tempt,"özendirmek, baştan çıkarmak","ibm data analyst","2024-10-17 12:48:16"
built-in,"sistemde yerleşik bulunan özellik","ibm data analyst","2024-10-17 12:50:07"
"data dump","tüm verilerin tek seferde aktarılması, veri yedeği","ibm data analyst","2024-10-17 12:51:37"
deliberate,"kasıtlı, dikkatli","ibm data analyst","2024-10-17 12:54:39"
narrative,"hikaye, anlatım tarzı","ibm data analyst","2024-10-17 12:55:36"
summary,"özet, kısa bilgi","ibm data analyst","2024-10-17 13:00:31"
grasp,"kavramak/ tutmak","ibm data analyst","2024-10-17 13:01:36"
concise,"özlü, kısa, net","ibm data analyst","2024-10-17 13:04:41"
coherent,"tutarlı, anlaşılır","ibm data analyst","2024-10-17 13:05:35"
resonate,"etkilemek, derin duygusal etki bırakmak/ yankı","ibm data analyst","2024-10-17 13:09:03"
pitch,"bir fikrin kısa sürede tanıtılması(jürilere vs)/ ses yüksekliği","ibm data analyst","2024-10-17 13:11:14"
interpretation,"yorum açıklama, tercüme","ibm data analyst","2024-10-17 13:15:42"
decipher,"çözmek, anlamlandırmak, şifreyi çözmek","ibm data analyst","2024-10-17 13:16:48"
overarching,"anafikir, kapsayıcı","ibm data analyst","2024-10-17 13:20:03"
campaign,"kampanya/ seferberlik","ibm data analyst","2024-10-17 13:27:15"
comprehend,"anlamak, kavramak","ibm data analyst","2024-10-19 11:09:23"
quantitative,"bir şeyin sayılarla veya ölçülebilir değerlerle ifade edilebilmesi","ibm data analyst","2024-10-21 16:28:44"
production,"mal veya hizmetlerin oluşturulma süreci","ibm data analyst","2024-10-21 16:28:44"
vaccine,"aşı, bir şeyi koruma önleme amacıyla alınan önlemler","ibm data analyst","2024-10-21 16:28:44"
efficacy,"etkililik, başarı oranı","ibm data analyst","2024-10-21 16:28:44"
churn,"sürekli değişim/ sıvı ya da malzemenin karışması, dönmesi","ibm data analyst","2024-10-21 16:28:44"
scrutinize,"dikkatle incelemek, yakından incelemek","ibm data analyst","2024-10-21 16:28:44"
discrete,"ayrık, bağımsız","ibm data analyst","2024-10-21 16:28:44"
remain,"aynı durumda kalmak, değişiklik göstermemek, geride kalmak","operating systems","2024-11-02 16:28:44"
bracket,"parantez/ braket, destekleyici yapı","numerical methods","2024-11-03 16:36:50"
convregent,"yakınsak, limitte yaklaşan/ bir noktada birleşmek/ benzer fikirlerin bir araya gelmesi","numerical methods","2024-11-03 16:36:50"
diverge,"limitsel olarak uzaklaşma, ulaşmamai terse gitme/ fikirlerin, yolların ayrılması","numerical methods","2024-11-03 16:36:50"
converge,"limitsel olarak yaklaşmak, bir noktada birleşmek, benzer fikirlerin bir noktada buluşması","numerical methods","2024-11-03 16:36:50"
depiction,"tasvir, betimleme/bir hikaye- olay anlatımı","numerical methods","2024-11-03 16:36:53"
fraction,"bir bütünün bölünmüş parçasını ifade eder, pay payda olarak iki parçadanoluşur","operating systems","2024-11-04 16:17:29"
register,"cpu içindeki küçük hızlı depolama birimi","operating systems","2024-11-05 16:17:29"
"proof of correctness","bir algoritmanın her durumda doğru sonuç ürettiğinin matematiksel kanıtı","operating systems","2024-11-09 16:17:31"
daemon,"iblis/ arka planda kullanıcıyla doğrudan etkileşime girmeyen bir program-süreç","operating systems","2024-11-09 16:38:21"
latter,ikincisi,"operating systems","2024-11-09 16:38:21"
former,önceki,"operating systems","2024-11-09 16:38:21"
sequentially,"adım adım, belli bir sıra ile","operating systems","2024-11-09 16:38:21"
foreground,"aktif ve kullanıcının dikkatini çeken öğe, kısım","operating systems","2024-11-09 16:38:24"
